ID,species,status,diamclass_cm,corelength_cm,Complete_R,R_cm,DBH_cm,DBHTWO_cm,av. DBH_cm,Note,Outlier
1,Pine,0,5-10,6.5,No,,8,7.5,7.75,"On this one I measure the total tree core lenght but I cannot distinguish each end on the tree core, the total sapwood 4.3 cm",No
2,Pine,1,5-10,6.5,Yes,1.1,8,8,8,,No
3,Pine,1,5-10,7.1,Yes,1.7,8,9,8.5,,No
4,Pine,1,10-15,8.7,Yes,2.4,11,11.1,11.05,,No
5,Pine,1,10-15,10.1,Yes,2.3,11,12.5,11.75,,No
6,Pine,1,10-15,12.3,Yes,2.7,13,13,13,,No
7,Pine,1,15-20,15.6,Yes,3,18,18,18,,No
8,Pine,1,15-20,16.8,Yes,3,19,18.5,18.75,,No
9,Pine,1,15-20,9,Yes,1.6,17,18.3,17.65,,Yes
10,Pine,1,20-25,18.1,Yes,4,20.2,20.4,20.3,,No
11,Pine,1,20-25,21.4,Yes,4.8,21,21,21,,No
12,Pine,1,20-25,21.1,Yes,4.5,24,23,23.5,,No
13,Pine,1,25-30,23.1,Yes,4.5,26,26.5,26.25,,No
14,Pine,1,25-30,24.8,Yes,4.2,28,29,28.5,,No
15,Pine,1,25-30,25,Yes,3.8,29.5,28,28.75,,No
16,Pine,0,30-35,27.5,No,4.6,31.8,32.5,32.15,This tree has been sampling twice. On the second sampling (2017-08-25) the total tree core length is 27.9 cm with each ends: 4.5 cm and 5.5 cm.,No
17,Pine,1,30-35,27.2,Yes,5.8,30.5,30,30.25,,No
18,Pine,1,30-35,30.4,Yes,4.4,33.5,35.5,34.5,,No
19,Pine,1,35-40,25.3,Yes,4,38.5,36,37.25,,Yes
20,Pine,1,35-40,31,Yes,3.7,35,35,35,,Yes
21,Pine,1,35-40,32,Yes,5.6,37.5,36,36.75,,No
22,Pine,1,>40,35.2,Yes,4,40,41,40.5,,No
23,Pine,0,>40,35.6,,5.6,39,42.5,40.75,,No
24,Pine,0,>40,27.9,Yes,5.4,40,40,40,,No
25,Spruce,1,5-10,6.2,Yes,0.5,7.6,7.6,7.6,,No
26,Spruce,1,5-10,8.3,Yes,1.5,9,9,9,,No
27,Spruce,1,5-10,4.5,Yes,0.9,5,5,5,,No
28,Spruce,1,5-10,7,Yes,1.6,7.8,7,7.4,,No
29,Spruce,1,10-15,13.2,Yes,3,14,14.3,14.15,,No
30,Spruce,1,10-15,13.8,Yes,0.9,14,14.8,14.4,,Yes
31,Spruce,1,10-15,10,Yes,1.5,11,10.5,10.75,,No
32,Spruce,1,10-15,10.8,Yes,1.7,12.8,12.2,12.5,,No
33,Spruce,1,15-20,14.3,Yes,2.7,16.3,16,16.15,,No
34,Spruce,1,15-20,16.2,Yes,2,17.8,18,17.9,,No
