"Date","Date_original","TIMESTAMP_DAY","Year","AirT","DATE","RH","VP","VP_long_term","VPD","VPD_VPlongterm","VPD_data.range","precip","NetRad","Eto","Extra_date","Month","DOY","TA_Svgt","Model.P..Richards.growth.model..4P.","Mechanistic.Growth.Model..3P.","Week","DOY_cont","ETo_mm","Ta_1_1_1","RH_1_1_1","ETo_mm_pred.VPD","ETo_mm_pred_AirT","ETo_mm.combined"
1985-01-01,"1-Jan","01/01/1985",1985,-23,"01/01/1985",73,0.1565589396,NA,0.0257852574,NA,"Bad",2.33,NA,NA,"",1,1,NA,0.00067514,0.02470539,1,NA,NA,NA,NA,0.0478156878840648,0,0.0478156878840648
1985-01-02,"2-Jan","01/02/1985",1985,-21,"01/02/1985",NA,0.1868563508,NA,NA,NA,"Bad",0.49,NA,NA,"",1,2,NA,NA,NA,1,NA,NA,NA,NA,NA,0,0
1985-01-03,"3-Jan","01/03/1985",1985,-24,"01/03/1985",69,0.1431272498,NA,0.0270653629,NA,"Bad",0,NA,NA,"",1,3,NA,0.00067658,0.02839267,1,NA,NA,NA,NA,0.0518320540951179,0,0.0518320540951179
1985-01-04,"4-Jan","01/04/1985",1985,-26,"01/04/1985",69,0.11931761,NA,0.02256296,NA,"Bad",0.26,NA,NA,"",1,4,NA,0.00067154,0.0154028,1,NA,NA,NA,NA,0.0376735829307175,0,0.0376735829307175
1985-01-05,"5-Jan","01/05/1985",1985,-18,"01/05/1985",68,0.2421720887,NA,0.0472719917,NA,"Bad",0,NA,NA,"",1,5,NA,0.00069964,0.08597588,1,NA,NA,NA,NA,0.114282544353971,0,0.114282544353971
1985-01-06,"6-Jan","01/06/1985",1985,-11,"01/06/1985",66,0.4317959003,NA,0.0895544697,NA,"Bad",0,NA,NA,"",1,6,NA,0.00075015,0.20276921,1,NA,NA,NA,NA,0.239358335971478,0,0.239358335971478
1985-01-07,"7-Jan","01/07/1985",1985,-22,"01/07/1985",70,0.1711084178,NA,0.0313128405,NA,"Bad",0.12,NA,NA,"",1,7,NA,0.00068137,0.04059356,1,NA,NA,NA,NA,0.0651069646227293,0,0.0651069646227293
1985-01-08,"8-Jan","01/08/1985",1985,-27,"01/08/1985",68,0.1088007225,NA,0.021237901,NA,"Bad",0,NA,NA,"",1,8,NA,0.00067006,0.01156872,2,NA,NA,NA,NA,0.033489640141575,0,0.033489640141575
1985-01-09,"9-Jan","01/09/1985",1985,-25,"01/09/1985",71,0.1307373335,NA,0.0231274343,NA,"Bad",2.1,NA,NA,"",1,9,NA,0.00067217,0.01703457,2,NA,NA,NA,NA,0.0394535737048694,0,0.0394535737048694
1985-01-10,"10-Jan","01/10/1985",1985,-13,"01/10/1985",77,0.3673841606,NA,0.0515439977,NA,"Bad",0,NA,NA,"",1,10,NA,0.0007046,0.0980016,2,NA,NA,NA,NA,0.127259903820332,0,0.127259903820332
1985-01-11,"11-Jan","01/11/1985",1985,-9,"01/11/1985",72,0.5060656223,NA,0.0864360083,NA,"Bad",0,NA,NA,"",1,11,NA,0.00074631,0.19432301,2,NA,NA,NA,NA,0.230385443592373,0,0.230385443592373
1985-01-12,"12-Jan","01/12/1985",1985,-7,"01/12/1985",73,0.5914764338,NA,0.0974161686,NA,"Bad",0,NA,NA,"",1,12,NA,0.00075988,0.22394571,2,NA,NA,NA,NA,0.261805320670552,0,0.261805320670552
1985-01-13,"13-Jan","01/13/1985",1985,-9,"01/13/1985",77,0.5060656223,NA,0.0710010068,NA,"Bad",0,NA,NA,"",1,13,NA,0.0007276,0.15212803,2,NA,NA,NA,NA,0.185389695016686,0,0.185389695016686
1985-01-14,"14-Jan","01/14/1985",1985,-15,"01/14/1985",87,0.3116731354,NA,0.0247156796,NA,"Bad",0,NA,NA,"",1,14,NA,0.00067394,0.0216209,2,NA,NA,NA,NA,0.0444543104211855,0,0.0444543104211855
1985-01-15,"15-Jan","01/15/1985",1985,-22,"01/15/1985",83,0.1711084178,NA,0.0177439429,NA,"Bad",0,NA,NA,"",1,15,NA,0.00066617,0.00143451,3,NA,NA,NA,NA,0.022419837493343,0,0.022419837493343
1985-01-16,"16-Jan","01/16/1985",1985,-25,"01/16/1985",81,0.1307373335,NA,0.015152457,NA,"Bad",0,NA,NA,"",1,16,NA,0.0006633,-0.006105,3,NA,NA,NA,NA,0.0141741137171181,0,0.0141741137171181
1985-01-17,"17-Jan","01/17/1985",1985,-24,"01/17/1985",75,0.1431272498,NA,0.0218269056,NA,"Bad",0.49,NA,NA,"",1,17,NA,0.00067071,0.01327364,3,NA,NA,NA,NA,0.0353504152229908,0,0.0353504152229908
1985-01-18,"18-Jan","01/18/1985",1985,-24,"01/18/1985",76,0.1431272498,NA,0.0209538294,NA,"Bad",0.49,NA,NA,"",1,18,NA,0.00066974,0.01074609,3,NA,NA,NA,NA,0.032591654151299,0,0.032591654151299
1985-01-19,"19-Jan","01/19/1985",1985,-22,"01/19/1985",71,0.1711084178,NA,0.0302690791,NA,"Bad",0,NA,NA,"",1,19,NA,0.00068019,0.03760015,3,NA,NA,NA,NA,0.0618521743711551,0,0.0618521743711551
1985-01-20,"20-Jan","01/20/1985",1985,-22,"01/20/1985",69,0.1711084178,NA,0.0323566018,NA,"Bad",0.12,NA,NA,"",1,20,NA,0.00068255,0.04358384,3,NA,NA,NA,NA,0.0683569815642722,0,0.0683569815642722
1985-01-21,"21-Jan","01/21/1985",1985,-24,"01/21/1985",67,0.1431272498,NA,0.0288115154,NA,"Bad",0,NA,NA,"",1,21,NA,0.00067855,0.03341477,3,NA,NA,NA,NA,0.057299013097333,0,0.057299013097333
1985-01-22,"22-Jan","01/22/1985",1985,-13,"01/22/1985",65,0.3673841606,NA,0.0784365183,NA,"Bad",0,NA,NA,"",1,22,NA,0.00073656,0.17253595,4,NA,NA,NA,NA,0.207187433064883,0,0.207187433064883
1985-01-23,"23-Jan","01/23/1985",1985,-3,"01/23/1985",64,0.801545659,NA,0.1760194267,NA,"Bad",0.49,NA,NA,"",1,23,NA,0.00086353,0.4267669,4,NA,NA,NA,NA,0.473106723092397,0.0133717380630933,0.473106723092397
1985-01-24,"24-Jan","01/24/1985",1985,-5,"01/24/1985",66,0.6894476442,NA,0.1429914414,NA,"Bad",0,NA,NA,"",1,24,NA,0.00081856,0.343482,4,NA,NA,NA,NA,0.387156425224422,0,0.387156425224422
