"Week","Year","precip.nomiss","ETo_mm.combined","Date","ID","PP_ET","spei"
1,1985,3.2,1.65325587278775,1985-01-01,28,1.54674412721225,0
2,1985,2.1,2.77807448143008,1985-01-08,77,-0.678074481430085,0.014526795602549
3,1985,1.1,0.817609378489954,1985-01-15,126,0.282390621510046,0.0349188012726954
4,1985,2.01,6.78661999876365,1985-01-22,175,-4.77661999876365,-0.462091391889563
5,1985,10.24,3.61212878141752,1985-01-29,224,6.62787121858248,0.550790992753857
6,1985,3.46,6.96891717232507,1985-02-05,273,-3.50891717232507,-0.431234564707663
7,1985,0.12,4.34897075470222,1985-02-12,322,-4.22897075470222,-0.316707388779636
8,1985,7.62,3.65828814816746,1985-02-19,371,3.96171185183254,0.221584308361696
9,1985,4.82,5.29380415207247,1985-02-26,420,-0.47380415207247,-0.0479074219210206
10,1985,9.76,5.07576951303118,1985-03-05,469,4.68423048696882,0.186426688492431
11,1985,10.06,7.81788719975011,1985-03-12,518,2.24211280024989,0.0247407737396442
12,1985,0.75,8.07811520007536,1985-03-19,567,-7.32811520007536,-0.706533359734077
13,1985,13.28,8.47293823749752,1985-03-26,616,4.80706176250248,0.318547161075138
14,1985,4.17,21.9195469857202,1985-04-02,665,-17.7495469857202,-1.37120070380082
15,1985,0,20.9683837868823,1985-04-09,714,-20.9683837868823,-1.76740173188327
16,1985,10.31,19.0597607203181,1985-04-16,763,-8.74976072031813,-0.784670496028945
17,1985,0,25.5347517624176,1985-04-23,812,-25.5347517624176,-1.98694525721403
18,1985,26.81,14.1422390619296,1985-04-30,861,12.6677609380704,0.777572480991328
19,1985,6.09,28.0819577199405,1985-05-07,910,-21.9919577199405,-1.6575947833156
20,1985,4.64,32.6865497214801,1985-05-14,959,-28.0465497214801,-2.05222097771052
21,1985,14.85,21.6340799373475,1985-05-21,1008,-6.7840799373475,-0.528902532284475
22,1985,16.18,23.2291088136076,1985-05-28,1057,-7.04910881360761,-0.750532177089741
23,1985,18.3,21.1988495439996,1985-06-04,1106,-2.89884954399959,-0.377687629512017
24,1985,8.27,23.2861168600951,1985-06-11,1155,-15.0161168600951,-1.31356792565427
25,1985,2.77,21.1916423787408,1985-06-18,1204,-18.4216423787408,-1.54423325935671
26,1985,8.2,24.9327158279392,1985-06-25,1253,-16.7327158279392,-1.29098017421857
27,1985,1.85,18.7524915562065,1985-07-02,1302,-16.9024915562065,-1.41011608027727
28,1985,17.83,15.7175985442961,1985-07-09,1351,2.1124014557039,0.0989463870904401
29,1985,14.14,14.5219787291864,1985-07-16,1400,-0.381978729186422,0.0542825602911663
30,1985,22.77,11.551872562607,1985-07-23,1449,11.218127437393,0.679880042172536
31,1985,52,12.5349689059887,1985-07-30,1498,39.4650310940113,2.06307199821026
32,1985,83.87,9.79524807075576,1985-08-06,1547,74.0747519292442,3.02156294585499
33,1985,0.59,8.44515740707782,1985-08-13,1596,-7.85515740707782,-0.613545382239785
34,1985,27.11,4.62959536945399,1985-08-20,1645,22.480404630546,1.36116078876813
35,1985,68.38,9.81157743762657,1985-08-27,1694,58.5684225623734,2.34943171858311
36,1985,40.46,11.1685488754399,1985-09-03,1743,29.2914511245601,1.6337012552947
37,1985,2.99,9.79524807075576,1985-09-10,1792,-6.80524807075576,-0.645739175600554
38,1985,6.73,7.67561556881257,1985-09-17,1841,-0.945615568812574,-0.00663220169054728
39,1985,3.11,4.8253636513321,1985-09-24,1890,-1.7153636513321,-0.120056397110888
40,1985,13.42,4.23405515576803,1985-10-01,1939,9.18594484423197,0.63880783951939
41,1985,51,4.240570434265,1985-10-08,1988,46.759429565735,2.24822399074073
42,1985,0.11,12.2016023084997,1985-10-15,2037,-12.0916023084997,-1.09479174813698
43,1985,0.49,9.2792793891541,1985-10-22,2086,-8.7892793891541,-0.669416301365158
44,1985,26.6,2.14984015802325,1985-10-29,2135,24.4501598419767,1.44184138861997
45,1985,40.3,1.60354441408387,1985-11-05,2184,38.6964555859161,1.86820753751988
46,1985,1.7,4.11762832318124,1985-11-12,2233,-2.41762832318124,-0.378166644158524
47,1985,1.09,3.07231863649676,1985-11-19,2282,-1.98231863649676,-0.303660649457359
